# Country x sector relative book weights (% of country book).
# Replace with your actual credit-lines exposure breakdown.
# Sovereign row represents pure country/sovereign risk lines.
iso3,sector,book_weight_pct
PER,Oil_Gas,5
PER,Metals_Mining,28
PER,Agribusiness,10
PER,Utilities,5
PER,Transportation,5
PER,Chemicals,5
PER,Financials,12
PER,Manufacturing,5
PER,Consumer,5
COL,Sovereign,15
COL,Oil_Gas,20
COL,Metals_Mining,5
COL,Agribusiness,10
COL,Utilities,10
COL,Transportation,5
COL,Chemicals,5
COL,Financials,12
COL,Manufacturing,5
COL,Consumer,5
VEN,Sovereign,15
VEN,Oil_Gas,40
VEN,Metals_Mining,5
VEN,Agribusiness,5
VEN,Utilities,12
VEN,Transportation,5
VEN,Chemicals,5
VEN,Financials,5
VEN,Manufacturing,5
VEN,Consumer,8
